datasource_id,resource_id,resource_name,resource_type,resource_size,resource_owner_id,last_modified_time,creation_time,exposure_type,web_content_link,web_view_link,icon_link,thumthumbnail_link,description,last_modifying_user_email,parent_id
0f3838b0-be97-46be-b3b5-82266578582e,0B1By_dYL1Segc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,engg_user_2@adyatest.com,2018-01-18 07:02:41,2018-01-18 07:02:41,INT,https://drive.google.com/a/adyatest.com/uc?id=0B1By_dYL1Segc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B1By_dYL1Segc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/fe9HdjblvWauZ2AdfexopNYP5DDSGhFOejdfvCuB4Xnzv7r89lxWe1pvgihYqbtSzWZsOaAJiQ_zH09o_Kg=s220,,engg_user_2@adyatest.com,0AFBy_dYL1SegUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0B4-LaxmBsTrSc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,mktg_user_2@adyatest.com,2018-01-18 07:55:38,2018-01-18 07:55:38,INT,https://drive.google.com/a/adyatest.com/uc?id=0B4-LaxmBsTrSc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B4-LaxmBsTrSc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/aGflROyt-zPDlnU0pHn2fLZMfV1j6nJVU84rr69mhH1t0Cm5kHSfhbmvubNQ9kHAFX8DxhBBnALLWJCv-j0=s220,,mktg_user_2@adyatest.com,0AI-LaxmBsTrSUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0B6qNOXm_mV4pc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,sales_user_1@adyatest.com,2018-01-18 07:56:59,2018-01-18 07:56:59,INT,https://drive.google.com/a/adyatest.com/uc?id=0B6qNOXm_mV4pc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B6qNOXm_mV4pc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/xlrv4ePO90rNUXRnltx_YF639j7s-u-cC7CKXTVbQDPzuZYWHK0JZybNevcHOM1aTDZPcCg92E3a2xS7Bew=s220,,sales_user_1@adyatest.com,0AKqNOXm_mV4pUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0B7uXfe3uom3Pc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,mktg_user_1@adyatest.com,2018-01-18 07:55:37,2018-01-18 07:55:37,INT,https://drive.google.com/a/adyatest.com/uc?id=0B7uXfe3uom3Pc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B7uXfe3uom3Pc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/qbLPUCE_U8jGlCs-zVya2K_7Ju-3qLg1t3u6pG7ucku1738T1FLzV3HtpaGLoooN-Bybk8MRKRBTNWWIcmI=s220,,mktg_user_1@adyatest.com,0ALuXfe3uom3PUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0B83elL9xsDrSc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,deepak@adyatest.com,2017-12-10 01:34:40,2017-12-10 01:34:40,INT,https://drive.google.com/a/adyatest.com/uc?id=0B83elL9xsDrSc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B83elL9xsDrSc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/soF8ySSDPYb2N0uFQ6xYH_739rwiB44tyVuPgf8D9sT1iKbYcf2Uj8teW0vmnNcX3noNpP4FX4-lovDiP24=s220,,deepak@adyatest.com,1gcms2Nbl7fEN1Puo3qrPJg_9vjmzc-jF
0f3838b0-be97-46be-b3b5-82266578582e,0B9a35ZK_q-DNc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,finance_user_1@adyatest.com,2018-01-18 08:08:07,2018-01-18 08:08:07,INT,https://drive.google.com/a/adyatest.com/uc?id=0B9a35ZK_q-DNc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0B9a35ZK_q-DNc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/RIAGVntsxqz4_n0MA3m2-lEj3AyPaWJb4CPm3-KitKOB8YeFjmpsfcccZLJ0NAI22vK_oEqD4a-NhAlHaJI=s220,,finance_user_1@adyatest.com,0ANa35ZK_q-DNUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0Bwtqz1A5kXeMc3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,sales_user_2@adyatest.com,2018-01-18 07:56:57,2018-01-18 07:56:57,INT,https://drive.google.com/a/adyatest.com/uc?id=0Bwtqz1A5kXeMc3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0Bwtqz1A5kXeMc3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/i7sZlKgd7KyrJXQqV8-_gGvhY-lQtKj3VQvVLZMIRWH67a8O1EIhFvs5alhtktVoUkKXJJ3zZEgLOBQDQKM=s220,,sales_user_2@adyatest.com,0AAtqz1A5kXeMUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0BzCPrivOhR5Ic3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,engg_user_1@adyatest.com,2018-01-18 07:02:44,2018-01-18 07:02:44,INT,https://drive.google.com/a/adyatest.com/uc?id=0BzCPrivOhR5Ic3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0BzCPrivOhR5Ic3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/KeMTxUnkauwU_o3cO3CfOatDc6KlkdNrpav0-Qlnzd8yY6tM_vzXg_FEkZEZp94UXVCQQUNNbfLvSxpRAg0=s220,,engg_user_1@adyatest.com,0ADCPrivOhR5IUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,0BzZovLP6dwqic3RhcnRlcl9maWxlX2Rhc2hlclYw,Getting started,pdf,696774,amit.agarwal@adyatest.com,2018-01-29 08:49:52,2018-01-29 08:49:52,INT,https://drive.google.com/a/adyatest.com/uc?id=0BzZovLP6dwqic3RhcnRlcl9maWxlX2Rhc2hlclYw&export=download,https://drive.google.com/a/adyatest.com/file/d/0BzZovLP6dwqic3RhcnRlcl9maWxlX2Rhc2hlclYw/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/application/pdf,https://lh3.googleusercontent.com/1X7780JESojpsoEIFmLmtZ0iW5Jz77nNXOyfb2l0xt6Oh-tipyQ2nZ3F1AVbZBl0olMoD7SXneNLQjQ9z1s=s220,,amit.agarwal@adyatest.com,0ADZovLP6dwqiUk9PVA
0f3838b0-be97-46be-b3b5-82266578582e,1-Fm6udjfnrHGWwPbHHPZ5Bz5YgouDy_c,Adya Demo .mp4,mp4,35871010,deepak@adyatest.com,2018-01-18 08:37:04,2018-01-18 08:37:04,INT,https://drive.google.com/a/adyatest.com/uc?id=1-Fm6udjfnrHGWwPbHHPZ5Bz5YgouDy_c&export=download,https://drive.google.com/a/adyatest.com/file/d/1-Fm6udjfnrHGWwPbHHPZ5Bz5YgouDy_c/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/video/mp4,https://lh3.googleusercontent.com/1M-neSf9apfDherSEh7Mq0zqiMS-F3-twikSmS9glThB3fOzZrq5xiATS8gbD9izyBILQVQG18M=s220,,deepak@adyatest.com,1Ux6jHXQoOxF6PhMHR4z76SnsCAmUZ-n1
